finding_id,study_id,polymer_code,polymer_parent,polymer_family,is_plastic,role,id_status,extraction_support,source
cov1020-P13,cov1020,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1020-P14,cov1020,PC,,Polycarbonate,yes,recovery_spike,known_material,,extraction
cov1020-P15,cov1020,PS,,Styrenic,yes,recovery_spike,known_material,,extraction
cov1022-P01,cov1022,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1022-P02,cov1022,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1022-P03,cov1022,EVA,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1022-P04,cov1022,PB,,Elastomer,yes,field_detection,unverified,C,extraction
cov1055-P01,cov1055,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1055-P02,cov1055,PE-HD,PE,Polyolefin,yes,field_detection,unverified,A,extraction
cov1055-P03,cov1055,PE-LD,PE,Polyolefin,yes,field_detection,unverified,A,extraction
cov1082-P01,cov1082,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1082-P02,cov1082,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1082-P03,cov1082,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1082-P04,cov1082,EPDM,,Elastomer,yes,field_detection,unverified,A,extraction
cov1082-P05,cov1082,PBT,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1082-P06,cov1082,PET,PEST,Polyester,yes,field_detection,unverified,B,extraction
cov1082-P07,cov1082,EPM,,Polyolefin,yes,field_detection,unverified,C,extraction
cov1082-P08,cov1082,PS,,Styrenic,yes,recovery_spike,known_material,,extraction
cov1108-P01,cov1108,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1108-P02,cov1108,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1108-P03,cov1108,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1108-P04,cov1108,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1108-P05,cov1108,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1108-P06,cov1108,PA6,PA,Polyamide,yes,field_detection,unverified,B,extraction
cov1118-P01,cov1118,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1118-P02,cov1118,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1118-P03,cov1118,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1118-P04,cov1118,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1118-P05,cov1118,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1118-P06,cov1118,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1118-P07,cov1118,PMMA,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1118-P08,cov1118,PA66,PA,Polyamide,yes,field_detection,unverified,A,extraction
cov1118-P09,cov1118,PA6,PA,Polyamide,yes,field_detection,unverified,A,extraction
cov1118-P10,cov1118,PBAT,PEST,Polyester,yes,mentioned_uncertain,unverified,,extraction
cov1118-P11,cov1118,PLA,PEST,Polyester (bio-based),yes,mentioned_uncertain,unverified,,extraction
cov1118-P12,cov1118,PC,,Polycarbonate,yes,mentioned_uncertain,unverified,,extraction
cov1118-P13,cov1118,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1118-P14,cov1118,PC,,Polycarbonate,yes,recovery_spike,known_material,,extraction
cov1118-P15,cov1118,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1118-P16,cov1118,PS,,Styrenic,yes,recovery_spike,known_material,,extraction
cov1118-P17,cov1118,PA6,PA,Polyamide,yes,recovery_spike,known_material,,extraction
cov1118-P18,cov1118,PET,PEST,Polyester,yes,recovery_spike,known_material,,extraction
cov1118-P19,cov1118,PLA,PEST,Polyester (bio-based),yes,recovery_spike,known_material,,extraction
cov1118-P20,cov1118,PVC,,Vinyl,yes,recovery_spike,known_material,,extraction
cov1118-P21,cov1118,PA66,PA,Polyamide,yes,recovery_spike,known_material,,extraction
cov1118-P22,cov1118,PBAT,PEST,Polyester,yes,recovery_spike,known_material,,extraction
cov1118-P23,cov1118,PMMA,ACR,Acrylic,yes,recovery_spike,known_material,,extraction
cov1121-P01,cov1121,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1121-P02,cov1121,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1121-P03,cov1121,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1121-P04,cov1121,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1121-P05,cov1121,PE-LD,PE,Polyolefin,yes,field_detection,unverified,A,extraction
cov1121-P06,cov1121,PE-HD,PE,Polyolefin,yes,field_detection,unverified,A,extraction
cov1129-P01,cov1129,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1129-P02,cov1129,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1129-P03,cov1129,PC,,Polycarbonate,yes,field_detection,unverified,A,extraction
cov1129-P04,cov1129,PE-LD,PE,Polyolefin,yes,field_detection,unverified,B,extraction
cov1133-P01,cov1133,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1133-P02,cov1133,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1133-P03,cov1133,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1133-P04,cov1133,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1133-P05,cov1133,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1133-P06,cov1133,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov1133-P07,cov1133,PMMA,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1133-P08,cov1133,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1133-P09,cov1133,EVA,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1133-P10,cov1133,PB,,Elastomer,yes,field_detection,unverified,A,extraction
cov1133-P11,cov1133,RAYON,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1133-P12,cov1133,ACR,,Acrylic,yes,field_detection,unverified,A,extraction
cov1133-P13,cov1133,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1133-P14,cov1133,PA,,Polyamide,yes,recovery_spike,known_material,,extraction
cov1133-P15,cov1133,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1133-P16,cov1133,PS,,Styrenic,yes,recovery_spike,known_material,,extraction
cov1140-P01,cov1140,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1140-P02,cov1140,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1140-P03,cov1140,PE-HD,PE,Polyolefin,yes,field_detection,unverified,B,extraction
cov1140-P04,cov1140,PE-LD,PE,Polyolefin,yes,field_detection,unverified,B,extraction
cov1142-P01,cov1142,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1142-P02,cov1142,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1142-P03,cov1142,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1142-P04,cov1142,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov1142-P05,cov1142,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1142-P06,cov1142,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1142-P07,cov1142,PVOH,,Vinyl,yes,field_detection,unverified,A,extraction
cov1142-P08,cov1142,PVC,,Vinyl,yes,recovery_spike,known_material,,extraction
cov1142-P09,cov1142,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1151-P01,cov1151,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1151-P02,cov1151,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1151-P03,cov1151,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1151-P04,cov1151,EVA,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1151-P05,cov1151,CELL,,Natural,no,field_detection,unverified,A,extraction
cov1185-P01,cov1185,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1185-P02,cov1185,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1185-P03,cov1185,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1185-P04,cov1185,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1185-P05,cov1185,EVA,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1185-P06,cov1185,CA,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1185-P07,cov1185,CELL,,Natural,no,field_detection,unverified,B,extraction
cov1186-P01,cov1186,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1186-P02,cov1186,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1186-P03,cov1186,PAN,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1186-P04,cov1186,CELL,,Natural,no,field_detection,unverified,A,extraction
cov1186-P05,cov1186,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1186-P06,cov1186,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1186-P07,cov1186,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1186-P08,cov1186,PA,,Polyamide,yes,field_detection,unverified,C,extraction
cov1237-P01,cov1237,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1237-P02,cov1237,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1237-P03,cov1237,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1237-P04,cov1237,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1237-P05,cov1237,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1237-P06,cov1237,PMMA,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1237-P07,cov1237,PC,,Polycarbonate,yes,field_detection,unverified,A,extraction
cov1237-P08,cov1237,PTFE,,Fluoropolymer,yes,field_detection,unverified,A,extraction
cov1237-P09,cov1237,CA,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1237-P10,cov1237,ABS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1237-P11,cov1237,MF,,Thermoset,yes,field_detection,unverified,A,extraction
cov1237-P12,cov1237,CELL,,Natural,no,field_detection,unverified,B,extraction
cov1237-P13,cov1237,ACR,,Acrylic,yes,field_detection,unverified,C,extraction
cov1263-P01,cov1263,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1263-P02,cov1263,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1263-P03,cov1263,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1263-P04,cov1263,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1263-P05,cov1263,PVAC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1263-P06,cov1263,EPDM,,Elastomer,yes,field_detection,unverified,A,extraction
cov1263-P07,cov1263,CA,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1263-P08,cov1263,RAYON,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1263-P09,cov1263,PVDF,,Fluoropolymer,yes,field_detection,unverified,A,extraction
cov1263-P10,cov1263,PLA,PEST,Polyester (bio-based),yes,field_detection,unverified,A,extraction
cov1263-P11,cov1263,POM,,Polyacetal,yes,field_detection,unverified,A,extraction
cov1263-P12,cov1263,CELL,,Natural,no,field_detection,unverified,A,extraction
cov1273-P01,cov1273,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1273-P02,cov1273,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1273-P03,cov1273,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1273-P04,cov1273,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1273-P05,cov1273,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1273-P06,cov1273,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov1273-P07,cov1273,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1273-P08,cov1273,PMMA,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1273-P09,cov1273,PC,,Polycarbonate,yes,field_detection,unverified,A,extraction
cov1273-P10,cov1273,PLA,PEST,Polyester (bio-based),yes,field_detection,unverified,A,extraction
cov1273-P11,cov1273,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1273-P12,cov1273,ACR,,Acrylic,yes,field_detection,unverified,A,extraction
cov1273-P13,cov1273,CA,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1273-P14,cov1273,PSU,,Sulfone polymer,yes,field_detection,unverified,A,extraction
cov1273-P15,cov1273,EVA,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1273-P16,cov1273,SAN,,Styrenic,yes,field_detection,unverified,A,extraction
cov1273-P17,cov1273,ABS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1273-P18,cov1273,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1298-P01,cov1298,PEST,,Polyester,yes,field_detection,confirmed,,full_text
cov1298-P02,cov1298,PA,,Polyamide,yes,field_detection,confirmed,,full_text
cov1298-P03,cov1298,PE,,Polyolefin,yes,field_detection,confirmed,,full_text
cov1298-P04,cov1298,OTHER,,Other,yes,field_detection,identity_unresolved,,full_text
cov1314-P01,cov1314,PE-HD,PE,Polyolefin,yes,method_material,known_material,,full_text
cov1314-P02,cov1314,PS-E,PS,Styrenic,yes,method_material,known_material,,full_text
cov1314-P03,cov1314,ABS,,Styrenic,yes,method_material,known_material,,full_text
cov1314-P04,cov1314,PP,,Polyolefin,yes,method_material,known_material,,full_text
cov1315-P01,cov1315,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1315-P02,cov1315,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1315-P03,cov1315,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1315-P04,cov1315,PEST,,Polyester,yes,field_detection,unverified,B,extraction
cov1330-P01,cov1330,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1330-P02,cov1330,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1330-P03,cov1330,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1330-P04,cov1330,PA,,Polyamide,yes,field_detection,unverified,B,extraction
cov1330-P05,cov1330,PMMA,ACR,Acrylic,yes,field_detection,unverified,B,extraction
cov1330-P06,cov1330,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1330-P07,cov1330,ABS,,Styrenic,yes,field_detection,unverified,B,extraction
cov1330-P08,cov1330,SAN,,Styrenic,yes,field_detection,unverified,B,extraction
cov1330-P09,cov1330,CELL,,Natural,no,field_detection,unverified,A,extraction
cov1346-P01,cov1346,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1346-P02,cov1346,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1346-P03,cov1346,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1346-P04,cov1346,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov1346-P05,cov1346,PTFE,,Fluoropolymer,yes,field_detection,unverified,A,extraction
cov1346-P06,cov1346,ABS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1346-P07,cov1346,CELL,,Natural,no,field_detection,unverified,A,extraction
cov1346-P08,cov1346,ACR,,Acrylic,yes,field_detection,unverified,A,extraction
cov1346-P09,cov1346,RAYON,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1359-P01,cov1359,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1359-P02,cov1359,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1359-P03,cov1359,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1359-P04,cov1359,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1359-P05,cov1359,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1359-P06,cov1359,PC,,Polycarbonate,yes,field_detection,unverified,A,extraction
cov1359-P07,cov1359,PTFE,,Fluoropolymer,yes,field_detection,unverified,A,extraction
cov1359-P08,cov1359,ABS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1376-P01,cov1376,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1376-P02,cov1376,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1376-P03,cov1376,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1376-P04,cov1376,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1376-P05,cov1376,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1376-P06,cov1376,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov1376-P07,cov1376,PA,,Polyamide,yes,field_detection,unverified,B,extraction
cov1376-P08,cov1376,PE-LD,PE,Polyolefin,yes,field_detection,unverified,B,extraction
cov1376-P09,cov1376,PE-HD,PE,Polyolefin,yes,field_detection,unverified,B,extraction
cov1376-P10,cov1376,PEST,,Polyester,yes,field_detection,unverified,B,extraction
cov1376-P11,cov1376,CELL,,Natural,no,field_detection,unverified,A,extraction
cov1376-P12,cov1376,RAYON,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1376-P13,cov1376,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1376-P14,cov1376,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1384-P01,cov1384,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1384-P02,cov1384,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1384-P03,cov1384,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1384-P04,cov1384,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1384-P05,cov1384,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1384-P06,cov1384,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1384-P07,cov1384,RAYON,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1384-P08,cov1384,ACR,,Acrylic,yes,field_detection,unverified,A,extraction
cov1384-P09,cov1384,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1384-P10,cov1384,PAN,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1387-P01,cov1387,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1387-P02,cov1387,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1387-P03,cov1387,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1387-P04,cov1387,PVC,,Vinyl,yes,field_detection,unverified,B,extraction
cov1387-P05,cov1387,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov1387-P06,cov1387,ABS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1387-P07,cov1387,PEST,,Polyester,yes,field_detection,unverified,B,extraction
cov1387-P08,cov1387,CELL,,Natural,no,field_detection,unverified,A,extraction
cov1387-P09,cov1387,PCL,PEST,Polyester,yes,field_detection,unverified,B,extraction
cov1387-P10,cov1387,ACR,,Acrylic,yes,field_detection,unverified,B,extraction
cov1387-P11,cov1387,SEBS,,Elastomer,yes,field_detection,unverified,B,extraction
cov1395-P01,cov1395,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1395-P02,cov1395,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1395-P03,cov1395,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1395-P04,cov1395,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1395-P05,cov1395,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1395-P06,cov1395,EPM,,Polyolefin,yes,field_detection,unverified,B,extraction
cov1410-P01,cov1410,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1410-P02,cov1410,PVOH,,Vinyl,yes,field_detection,unverified,A,extraction
cov1410-P03,cov1410,ABS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1410-P04,cov1410,PCL,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1429-P01,cov1429,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1429-P02,cov1429,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1429-P03,cov1429,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1429-P04,cov1429,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1429-P05,cov1429,PET,PEST,Polyester,yes,recovery_spike,known_material,,extraction
cov1484-P01,cov1484,PA66,PA,Polyamide,yes,exposure_material,confirmed,,full_text
cov1497-P01,cov1497,PTFE,,Fluoropolymer,yes,exposure_material,known_material,,full_text
cov1497-P02,cov1497,ACR,,Acrylic,yes,exposure_material,identity_unresolved,,full_text
cov1514-P01,cov1514,PLA,PEST,Polyester (bio-based),yes,exposure_material,unverified,A,extraction
cov1514-P02,cov1514,PMMA,ACR,Acrylic,yes,exposure_material,unverified,A,extraction
cov1514-P03,cov1514,MF,,Thermoset,yes,exposure_material,unverified,A,extraction
cov1514-P04,cov1514,PLA,PEST,Polyester (bio-based),yes,recovery_spike,known_material,,extraction
cov1515-P01,cov1515,PE,,Polyolefin,yes,field_detection,confirmed,,full_text
cov1515-P02,cov1515,PET,PEST,Polyester,yes,field_detection,confirmed,,full_text
cov1515-P03,cov1515,PVC,,Vinyl,yes,field_detection,confirmed,,full_text
cov1515-P04,cov1515,PTFE,,Fluoropolymer,yes,field_detection,confirmed,,full_text
cov1515-P05,cov1515,PEST,,Polyester,yes,field_detection,confirmed,,full_text
cov1515-P06,cov1515,PAA,ACR,Acrylic,yes,field_detection,identity_unresolved,,full_text
cov1525-P01,cov1525,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1525-P02,cov1525,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1525-P03,cov1525,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1525-P04,cov1525,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1525-P05,cov1525,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1525-P06,cov1525,EPDM,,Elastomer,yes,field_detection,unverified,A,extraction
cov1525-P07,cov1525,PVDF,,Fluoropolymer,yes,field_detection,unverified,A,extraction
cov1525-P08,cov1525,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1588-P01,cov1588,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1588-P02,cov1588,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1588-P03,cov1588,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1588-P04,cov1588,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1588-P05,cov1588,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1588-P06,cov1588,PVAC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1588-P07,cov1588,PIB,,Elastomer,yes,field_detection,unverified,B,extraction
cov1588-P08,cov1588,EP,,Thermoset,yes,field_detection,unverified,A,extraction
cov1588-P09,cov1588,PAN,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1588-P10,cov1588,RAYON,,Semi-synthetic cellulose,semi,field_detection,unverified,A,extraction
cov1588-P11,cov1588,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1588-P12,cov1588,PA,,Polyamide,yes,recovery_spike,known_material,,extraction
cov1588-P13,cov1588,OTHER,,Other,yes,recovery_spike,known_material,,extraction
cov1610-P01,cov1610,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1610-P02,cov1610,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1610-P03,cov1610,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1610-P04,cov1610,PET,PEST,Polyester,yes,field_detection,unverified,C,extraction
cov1654-P01,cov1654,PE,,Polyolefin,yes,exposure_material,unverified,B,extraction
cov1654-P02,cov1654,PP,,Polyolefin,yes,exposure_material,unverified,A,extraction
cov1654-P03,cov1654,PS,,Styrenic,yes,exposure_material,unverified,A,extraction
cov1654-P04,cov1654,PA,,Polyamide,yes,exposure_material,unverified,A,extraction
cov1654-P05,cov1654,PE-LD,PE,Polyolefin,yes,exposure_material,unverified,A,extraction
cov1654-P06,cov1654,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1654-P07,cov1654,PA,,Polyamide,yes,recovery_spike,known_material,,extraction
cov1654-P08,cov1654,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1654-P09,cov1654,PS,,Styrenic,yes,recovery_spike,known_material,,extraction
cov1666-P01,cov1666,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1666-P02,cov1666,PU,,Polyurethane,yes,field_detection,unverified,A,extraction
cov1666-P03,cov1666,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1666-P04,cov1666,PE-LD,PE,Polyolefin,yes,field_detection,unverified,B,extraction
cov1700-P01,cov1700,PET,PEST,Polyester,yes,exposure_material,unverified,A,extraction
cov1700-P02,cov1700,PS,,Styrenic,yes,exposure_material,unverified,A,extraction
cov1700-P03,cov1700,PET,PEST,Polyester,yes,recovery_spike,known_material,,extraction
cov1702-P01,cov1702,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1702-P02,cov1702,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1702-P03,cov1702,PS,,Styrenic,yes,field_detection,unverified,B,extraction
cov1702-P04,cov1702,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1702-P05,cov1702,PEST,,Polyester,yes,field_detection,unverified,A,extraction
cov1729-P01,cov1729,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1729-P02,cov1729,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1729-P03,cov1729,PA,,Polyamide,yes,field_detection,unverified,A,extraction
cov1729-P04,cov1729,PE-LD,PE,Polyolefin,yes,field_detection,unverified,A,extraction
cov1729-P05,cov1729,PE-HD,PE,Polyolefin,yes,field_detection,unverified,A,extraction
cov1729-P06,cov1729,EVA,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1729-P07,cov1729,ACR,,Acrylic,yes,field_detection,unverified,A,extraction
cov1729-P08,cov1729,PVC,,Vinyl,yes,field_detection,unverified,A,extraction
cov1760-P01,cov1760,PTFE,,Fluoropolymer,yes,exposure_material,proxy_tracked,,full_text
cov1760-P02,cov1760,PS,,Styrenic,yes,method_material,known_material,,full_text
cov1760-P03,cov1760,PET,PEST,Polyester,yes,method_material,known_material,,full_text
cov1834-P01,cov1834,PS,,Styrenic,yes,exposure_material,known_material,,full_text
cov1849-P01,cov1849,PE,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1849-P02,cov1849,PP,,Polyolefin,yes,field_detection,unverified,A,extraction
cov1849-P03,cov1849,PET,PEST,Polyester,yes,field_detection,unverified,A,extraction
cov1849-P04,cov1849,PS,,Styrenic,yes,field_detection,unverified,A,extraction
cov1849-P05,cov1849,PMMA,ACR,Acrylic,yes,field_detection,unverified,A,extraction
cov1849-P06,cov1849,PS-E,PS,Styrenic,yes,field_detection,unverified,B,extraction
cov1849-P07,cov1849,ABS,,Styrenic,yes,field_detection,unverified,B,extraction
cov1849-P08,cov1849,PE,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1849-P09,cov1849,PET,PEST,Polyester,yes,recovery_spike,known_material,,extraction
cov1849-P10,cov1849,PMMA,ACR,Acrylic,yes,recovery_spike,known_material,,extraction
cov1849-P11,cov1849,PP,,Polyolefin,yes,recovery_spike,known_material,,extraction
cov1849-P12,cov1849,PS,,Styrenic,yes,recovery_spike,known_material,,extraction
cov1851-P01,cov1851,PMMA,ACR,Acrylic,yes,field_detection,unverified,B,extraction
cov1851-P02,cov1851,PET,PEST,Polyester,yes,field_detection,unverified,B,extraction
cov1851-P03,cov1851,PVC,,Vinyl,yes,field_detection,unverified,B,extraction
cov1851-P04,cov1851,PE,,Polyolefin,yes,field_detection,unverified,B,extraction
