study_id,facet,code,character,finder_group,review_status
cov2939,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov2939,sample_type,BODY_FLUID,AQUEOUS,,draft
cov2969,organism,BIVALVE,,Bivalve,reviewed
cov2969,sample_type,SOFT_TISSUE,PROTEIN,,reviewed
cov2969,sample_type,ORGAN,PROTEIN,,reviewed
cov3019,organism,BIVALVE,,Bivalve,draft
cov3019,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov3111,organism,HUMAN,,Human,reviewed
cov3111,organism,MAMMAL,,Mammal (non-human),reviewed
cov3111,organism,CELL_CULTURE,,Cell culture,reviewed
cov3111,sample_type,CELLS,CELLS,,reviewed
cov3238,organism,FISH,,Fish,draft
cov3238,sample_type,MUSCLE,PROTEIN,,draft
cov3269,organism,FISH,,Fish,draft
cov3269,sample_type,GI_TRACT,GUT,,draft
cov3382,organism,BIVALVE,,Bivalve,draft
cov3382,sample_type,GILL,PROTEIN,,draft
cov3382,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov3382,sample_type,ORGAN,PROTEIN,,draft
cov3396,organism,BIVALVE,,Bivalve,reviewed
cov3396,organism,CRUSTACEAN,,Crustacean,reviewed
cov3396,organism,FISH,,Fish,reviewed
cov3396,organism,MAMMAL,,Mammal (non-human),reviewed
cov3396,organism,BIRD,,Bird,reviewed
cov3396,sample_type,MUSCLE,PROTEIN,,reviewed
cov3396,sample_type,REPRODUCTIVE,PROTEIN,,reviewed
cov3396,sample_type,MILK,LIPID_FLUID,,reviewed
cov3396,sample_type,FOOD,FOOD,,reviewed
