study_id,facet,code,character,finder_group,review_status
cov1020,organism,FISH,,Fish,reviewed
cov1020,organism,GASTROPOD,,Other invertebrate,reviewed
cov1020,organism,ZOOPLANKTON,,Other invertebrate,reviewed
cov1020,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,reviewed
cov1020,environment_sample,SEAWATER,,,reviewed
cov1022,organism,BIRD,,Bird,draft
cov1022,sample_type,ORGAN,PROTEIN,,draft
cov1055,organism,FISH,,Fish,draft
cov1055,sample_type,GI_TRACT,GUT,,draft
cov1055,sample_type,GILL,PROTEIN,,draft
cov1055,sample_type,MUSCLE,PROTEIN,,draft
cov1055,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1082,organism,CRUSTACEAN,,Crustacean,draft
cov1082,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1108,organism,FISH,,Fish,draft
cov1108,sample_type,GI_TRACT,GUT,,draft
cov1118,organism,HUMAN,,Human,draft
cov1118,sample_type,FECES,FECAL,,draft
cov1121,organism,HUMAN,,Human,draft
cov1121,sample_type,REPRODUCTIVE,PROTEIN,,draft
cov1129,organism,FISH,,Fish,draft
cov1129,sample_type,GI_TRACT,GUT,,draft
cov1129,sample_type,GILL,PROTEIN,,draft
cov1133,organism,BIVALVE,,Bivalve,draft
cov1133,sample_type,SOFT_TISSUE,PROTEIN,,draft
cov1133,sample_type,WHOLE_BODY,WHOLE_ORGANISM,,draft
cov1133,environment_sample,SEAWATER,,,draft
cov1133,environment_sample,SEDIMENT,,,draft
cov1140,organism,CRUSTACEAN,,Crustacean,reviewed
cov1140,sample_type,GI_TRACT,GUT,,reviewed
cov1140,environment_sample,SEAWATER,,,reviewed
cov1140,environment_sample,SEDIMENT,,,reviewed
cov1142,organism,FISH,,Fish,draft
cov1142,sample_type,GI_TRACT,GUT,,draft
cov1142,sample_type,GILL,PROTEIN,,draft
cov1142,sample_type,MUSCLE,PROTEIN,,draft
cov1151,organism,HUMAN,,Human,draft
cov1151,sample_type,ORGAN,PROTEIN,,draft
cov1151,sample_type,SECTION,SECTION,,draft
cov1185,organism,FISH,,Fish,draft
cov1185,sample_type,GI_TRACT,GUT,,draft
